7:20,7:27,7:34
7:34,7:41,7:48
7:40,7:47,7:54
7:47,7:54,8:01
7:53,8:00,8:07
7:57,8:04,8:11
shuttle,shuttle,shuttle
9:11,9:18,9:25
9:22,9:29,9:36
9:31,9:38,9:45
9:42,9:49,9:56
9:50,9:57,10:04
9:54,10:01,10:08
9:59,10:06,10:13
10:08,10:15,10:22
10:14,10:21,10:28
10:20,10:27,10:34
10:26,10:33,10:40
10:31,10:38,10:45
10:37,10:44,10:51
10:45,10:52,10:59
10:52,10:59,11:06
10:57,11:04,11:11
11:05,11:12,11:19
11:11,11:18,11:25
11:25,11:32,11:39
11:32,11:39,11:46
11:45,11:52,11:59
11:53,12:00,12:07
shuttle,shuttle,shuttle
12:48,12:55,13:02
12:55,13:02,13:09
13:06,13:13,13:20
13:12,13:19,13:26
13:25,13:32,13:39
13:32,13:39,13:46
13:45,13:52,13:59
13:52,13:59,14:06
14:06,14:13,14:20
14:12,14:19,14:26
14:25,14:32,14:39
14:32,14:39,14:46
14:45,14:52,14:59
14:54,15:01,15:08
15:04,15:11,15:18
15:16,15:23,15:30
15:24,15:31,15:38
shuttle,shuttle,shuttle
16:55,17:02,17:09
17:03,17:10,17:17
17:12,17:19,17:26
shuttle,shuttle,shuttle
17:44,17:51,17:58
17:55,18:02,18:09
18:04,18:11,18:18
shuttle,shuttle,shuttle
18:46,18:53,19:00
18:55,19:02,19:09
19:04,19:11,19:18
19:10,19:17,19:24
19:20,19:27,19:34
19:29,19:36,19:43
19:37,19:44,19:51
19:49,19:56,20:03
19:59,20:06,20:13
20:09,20:16,20:23
20:20,20:27,20:34
20:31,20:38,20:45
20:41,20:48,20:55
20:49,20:56,21:03
21:02,21:09,21:16
21:13,21:20,21:27
21:20,21:27,21:34
